,0
duration,duration
director_facebook_likes,director_facebook_likes
actor_3_facebook_likes,actor_3_facebook_likes
actor_1_facebook_likes,actor_1_facebook_likes
gross,gross
num_voted_users,num_voted_users
cast_total_facebook_likes,cast_total_facebook_likes
facenumber_in_poster,facenumber_in_poster
num_user_for_reviews,num_user_for_reviews
title_year,title_year
actor_2_facebook_likes,actor_2_facebook_likes
movie_facebook_likes,movie_facebook_likes
average_degree_centrality,average_degree_centrality
Comedy,Comedy
Adventure,Adventure
Romance,Romance
Family,Family
Action,Action
Musical,Musical
Sport,Sport
Thriller,Thriller
Mystery,Mystery
Drama,Drama
Animation,Animation
Fantasy,Fantasy
Sci-Fi,Sci-Fi
War,War
Western,Western
History,History
Horror,Horror
Crime,Crime
Documentary,Documentary
Music,Music
Film-Noir,Film-Noir
Biography,Biography
language_Aboriginal,language_Aboriginal
language_Arabic,language_Arabic
language_Aramaic,language_Aramaic
language_Bosnian,language_Bosnian
language_Cantonese,language_Cantonese
language_Czech,language_Czech
language_Danish,language_Danish
language_Dari,language_Dari
language_Dutch,language_Dutch
language_English,language_English
language_Filipino,language_Filipino
language_French,language_French
language_German,language_German
language_Hebrew,language_Hebrew
language_Hindi,language_Hindi
language_Hungarian,language_Hungarian
language_Indonesian,language_Indonesian
language_Italian,language_Italian
language_Japanese,language_Japanese
language_Kazakh,language_Kazakh
language_Korean,language_Korean
language_Mandarin,language_Mandarin
language_Maya,language_Maya
language_Mongolian,language_Mongolian
language_Norwegian,language_Norwegian
language_Persian,language_Persian
language_Portuguese,language_Portuguese
language_Romanian,language_Romanian
language_Spanish,language_Spanish
language_Thai,language_Thai
language_Vietnamese,language_Vietnamese
language_Zulu,language_Zulu
country_Afghanistan,country_Afghanistan
country_Argentina,country_Argentina
country_Aruba,country_Aruba
country_Australia,country_Australia
country_Belgium,country_Belgium
country_Brazil,country_Brazil
country_Canada,country_Canada
country_Chile,country_Chile
country_China,country_China
country_Colombia,country_Colombia
country_Czech Republic,country_Czech Republic
country_Denmark,country_Denmark
country_Finland,country_Finland
country_France,country_France
country_Germany,country_Germany
country_Hong Kong,country_Hong Kong
country_Hungary,country_Hungary
country_Iceland,country_Iceland
country_India,country_India
country_Indonesia,country_Indonesia
country_Iran,country_Iran
country_Ireland,country_Ireland
country_Israel,country_Israel
country_Italy,country_Italy
country_Japan,country_Japan
country_Mexico,country_Mexico
country_Netherlands,country_Netherlands
country_New Line,country_New Line
country_New Zealand,country_New Zealand
country_Norway,country_Norway
country_Official site,country_Official site
country_Poland,country_Poland
country_Romania,country_Romania
country_Russia,country_Russia
country_South Africa,country_South Africa
country_South Korea,country_South Korea
country_Spain,country_Spain
country_Taiwan,country_Taiwan
country_Thailand,country_Thailand
country_UK,country_UK
country_USA,country_USA
country_West Germany,country_West Germany
content_rating_Approved,content_rating_Approved
content_rating_G,content_rating_G
content_rating_GP,content_rating_GP
content_rating_M,content_rating_M
content_rating_NC-17,content_rating_NC-17
content_rating_Not Rated,content_rating_Not Rated
content_rating_PG,content_rating_PG
content_rating_PG-13,content_rating_PG-13
content_rating_Passed,content_rating_Passed
content_rating_R,content_rating_R
content_rating_Unrated,content_rating_Unrated
content_rating_X,content_rating_X
